PokemonA,TypeA1,TypeA2,PokemonB,TypeB1,TypeB2,Winner
Deoxys Speed Form,Psychic,,Calyrex Shadow Rider,Psychic,Ghost,
Turtwig,Grass,,Wyrdeer,Normal,Psychic,
Grotle,Grass,,Kleavor,Bug,Rock,
Torterra,Grass,Ground,Ursaluna,Ground,Normal,
Chimchar,Fire,,Basculegion Male,Water,Ghost,
Monferno,Fire,Fighting,Basculegion Felame,Water,Ghost,
Infernape,Fire,Fighting,Sneasler,Fighting,Poison,
Piplup,Water,,Overqwil,Dark,Poison,
Prinplup,Water,,Enamorus Incarnate Style,Fairy,Flying,
Empoleon,Water,Steel,Enamorus Therian Style,Fairy,Flying,
Starly,Normal,Flying,Sprigatito,Grass,,
Staravia,Normal,Flying,Floragato,Grass,,
Staraptor,Normal,Flying,Meowscarada,Grass,Dark,
Bidoof,Normal,,Fuecoco,Fire,,
Bibarel,Normal,Water,Crocalor,Fire,,
Kricketot,Bug,,Skeledirge,Fire,Ghost,
Kricketune,Bug,,Quaxly,Water,,
Shinx,Electric,,Quaxwell,Water,,
Luxio,Electric,,Quaquaval,Water,Fighting,
Luxray,Electric,,Lechonk,Normal,,
Budew,Grass,Poison,Oinkologne,Normal,,
Roserade,Grass,Poison,Oinkologne,Normal,,
Cranidos,Rock,,Tarountula,Bug,,
Rampardos,Rock,,Spidops,Bug,,
Shieldon,Rock,Steel,Nymble,Bug,,
Bastiodon,Rock,Steel,Lokix,Bug,Dark,
Burmy Plant Form,Bug,,Pawmi,Electric,,
Burmy Sandy Form,Bug,,Pawmo,Electric,Fighting,
Burmy Trash Form,Bug,,Pawmot,Electric,Fighting,
Wormadam Plant Form,Bug,Grass,Tandemaus,Normal,,
Wormadam Sandy Form,Bug,Ground,Maushold Family of Three,Normal,,
Wormadam Trash Form,Bug,Steel,Maushold Family of Four,Normal,,
Mothim,Bug,Flying,Fidough,Fairy,,
Combee,Bug,Flying,Dachsbun,Fairy,,
Vespiquen,Bug,Flying,Smoliv,Grass,Normal,
Pachirisu,Electric,,Dolliv,Grass,Normal,
Buizel,Water,,Arboliva,Grass,Normal,
Floatzel,Water,,Squawkabilly Green Plumage,Normal,Flying,
Cherubi,Grass,,Squawkabilly Blue Plumage,Normal,Flying,
Cherrim,Grass,,Squawkabilly Yellow Plumage,Normal,Flying,
Cherrim Sunshine Form,Grass,,Squawkabilly White Plumage,Normal,Flying,
Shellos East-Sea Form,Water,,Nacli,Rock,,
Shellos West-Sea Form,Water,,Naclstack,Rock,,
Gastrodon East-Sea Form,Water,Ground,Garganacl,Rock,,
Gastrodon West-Sea Form,Water,Ground,Charcadet,Fire,,
Ambipom,Normal,,Armarouge,Fire,Psychic,
Drifloon,Ghost,Flying,Ceruledge,Fire,Ghost,
Drifblim,Ghost,Flying,Tadbulb,Electric,,
Buneary,Normal,,Bellibolt,Electric,,
Lopunny,Normal,,Wattrel,Electric,Flying,
Mega Lopunny,Normal,Fighting,Kilowattrel,Electric,Flying,
Mismagius,Ghost,,Maschiff,Dark,,
Honchkrow,Dark,Flying,Mabosstiff,Dark,,
Glameow,Normal,,Shroodle,Poison,Normal,
Purugly,Normal,,Grafaiai,Poison,Normal,
Chingling,Psychic,,Bramblin,Grass,Ghost,
Stunky,Poison,Dark,Brambleghast,Grass,Ghost,
Skuntank,Poison,Dark,Toedscool,Ground,Grass,
Bronzor,Steel,Psychic,Toedscruel,Ground,Grass,
Bronzong,Steel,Psychic,Klawf,Rock,,
Bonsly,Rock,,Capsakid,Grass,,
Mime Jr.,Psychic,Fairy,Scovillain,Grass,Fire,
Happiny,Normal,,Rellor,Bug,,
Chatot,Normal,Flying,Rabsca,Bug,Psychic,
Spiritomb,Ghost,Dark,Flittle,Psychic,,
Gible,Dragon,Ground,Espathra,Psychic,,
Gabite,Dragon,Ground,Tinkatink,Fairy,Steel,
Garchomp,Dragon,Ground,Tinkatuff,Fairy,Steel,
Mega Garchomp,Dragon,Ground,Tinkaton,Fairy,Steel,
Munchlax,Normal,,Wiglett,Water,,
Riolu,Fighting,,Wugtrio,Water,,
Lucario,Fighting,Steel,Bombirdier,Flying,Dark,
Mega Lucario,Fighting,Steel,Finizen,Water,,
Hippopotas,Ground,,Palafin Zero Form,Water,,
Hippowdon,Ground,,Palafin Hero Form,Water,,
Skorupi,Poison,Bug,Varoom,Steel,Poison,
Drapion,Poison,Dark,Revavroom,Steel,Poison,
Croagunk,Poison,Fighting,Cyclizar,Dragon,Normal,
Toxicroak,Poison,Fighting,Orthworm,Steel,,
Carnivine,Grass,,Glimmet,Rock,Poison,
Finneon,Water,,Glimmora,Rock,Poison,
Lumineon,Water,,Greavard,Ghost,,
Mantyke,Water,Flying,Houndstone,Ghost,,
Snover,Grass,Ice,Flamigo,Flying,Fighting,
Abomasnow,Grass,Ice,Cetoddle,Ice,,
Mega Abomasnow,Grass,Ice,Cetitan,Ice,,
Weavile,Dark,Ice,Veluza,Water,Psychic,
Magnezone,Electric,Steel,Dondozo,Water,,
Lickilicky,Normal,,Tatsugiri Curly Form,Dragon,Water,
Rhyperior,Ground,Rock,Tatsugiri Droopy Form,Dragon,Water,
Tangrowth,Grass,,Tatsugiri Stretchy Form,Dragon,Water,
Electivire,Electric,,Annihilape,Fighting,Ghost,
Magmortar,Fire,,Clodsire,Poison,Ground,
Togekiss,Fairy,Flying,Farigiraf,Normal,Psychic,
Yanmega,Bug,Flying,Dudunsparce Two-Segment Form,Normal,,
Leafeon,Grass,,Dudunsparce Three-Segment Form,Normal,,
Glaceon,Ice,,Kingambit,Dark,Steel,
Gliscor,Ground,Flying,Great Tusk,Ground,Fighting,
Mamoswine,Ice,Ground,Scream Tail,Fairy,Psychic,
Porygon-Z,Normal,,Brute Bonnet,Grass,Dark,
Gallade,Psychic,Fighting,Flutter Mane,Ghost,Fairy,
Mega Gallade,Psychic,Fighting,Slither Wing,Bug,Fighting,
Probopass,Rock,Steel,Sandy Shocks,Electric,Ground,
Dusknoir,Ghost,,Iron Treads,Ground,Steel,
Froslass,Ice,Ghost,Iron Bundle,Ice,Water,
Rotom,Electric,Ghost,Iron Hands,Fighting,Electric,
Heat Rotom,Electric,Fire,Iron Jugulis,Dark,Flying,
Wash Rotom,Electric,Water,Iron Moth,Fire,Poison,
Frost Rotom,Electric,Ice,Iron Thorns,Rock,Electric,
Fan Rotom,Electric,Flying,Frigibax,Dragon,Ice,
Mow Rotom,Electric,Grass,Arctibax,Dragon,Ice,
Uxie,Psychic,,Baxcalibur,Dragon,Ice,
Mesprit,Psychic,,Gimmighoul Chest Form,Ghost,,
Azelf,Psychic,,Gimmighoul Roaming Form,Ghost,,
Dialga,Steel,Dragon,Gholdengo,Steel,Ghost,
Dialga Origin Form,Steel,Dragon,Wo-Chien,Dark,Grass,
Palkia,Water,Dragon,Chien-Pao,Dark,Ice,
Palkia Origin Form,Water,Dragon,Ting-Lu,Dark,Ground,
Heatran,Fire,Steel,Chi-Yu,Dark,Fire,
Regigigas,Normal,,Roaring Moon,Dragon,Dark,
Giratina,Ghost,Dragon,Iron Valiant,Fairy,Fighting,
Giratina Origin Form,Ghost,Dragon,Koraidon,Fighting,Dragon,
,,,Miraidon,Electric,Dragon,
,,,Walking Wake,Water,Dragon,
,,,Iron Leaves,Grass,Psychic,
